id;name;img;baseamount;portionamount;unit;calories;carbohydrates;sugar;fat;proteins;fibre
banan;Banana;banan.jpg;100;100;g;94;22;19;;1;2
bolonske-spagety;Spaghetti bolognese;bolonske-spagety.jpg;100;100;g;157;20;2;5;8;
tatranka-coko-liskooriskova-opavia;Chocolate bar;tatranka-coko-liskooriskova-opavia.jpg;100;45;g;537;57;39;30;7;3
hovezi-zampiony;Beef on mushrooms, rice;notavailable.jpg;100;100;g;99;15;1;2;5;
skubanky-mak;Potato gnocchi, poppy seeds;notavailable.jpg;100;200;g;153;24;10;5;5;3
rizoto;Vegetable risotto;notavailable.jpg;100;250;g;125;16;2;4;5;1
karbanatek;Rissole with potatoes;notavailable.jpg;100;150;g;240;22;2;13;9;
